Seccion,Casilla,Eleccion,Municipio,Distrito,Estatus,LN,Total,Partido Acción Nacional,Partido Revolucionario Institucional,Partido de la Revolución Democrática,Partido del Trabajo,Partido Verde Ecologista de México,Movimiento Ciudadano,Nueva Alianza Partido Político Nacional,Partido Demócrata,Partido Cruzada Ciudadana,MORENA,Partido Humanista  Partido Político Nacional,Partido Político Nacional  Encuentro Social,Candidato Independiente,Combinación PRI PVEM NA PD,Combinación PRI PVEM NA,Combinación PRI PVEM PD,Combinación PRI NA PD,Combinación PVEM NA PD,Combinación PRI PVEM,Combinación PRI NA,Combinación PRI PD,Combinación PVEM NA,Combinación PVEM PD,Combinación NA PD,Combinación PRD PT,Votos Anulados
30,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,527,284,147,117,0,4,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
30,CONTIGUA 1,Ayuntamiento,Allende,24,Acta contabilizada,526,293,160,113,0,3,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
30,CONTIGUA 2,Ayuntamiento,Allende,24,Acta contabilizada,526,307,153,116,0,7,4,3,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
31,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,662,364,192,142,0,7,1,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
32,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,451,223,134,77,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
32,CONTIGUA 1,Ayuntamiento,Allende,24,Acta contabilizada,450,227,126,88,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
33,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,559,297,178,91,0,5,5,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
33,CONTIGUA 1,Ayuntamiento,Allende,24,Acta contabilizada,558,304,192,85,0,8,7,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
34,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,381,215,101,86,0,2,9,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
34,CONTIGUA 1,Ayuntamiento,Allende,24,Acta contabilizada,381,248,143,78,0,2,4,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
35,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,290,173,97,57,0,3,2,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
36,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,299,171,63,96,0,1,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
37,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,603,359,189,128,0,9,7,7,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
38,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,595,333,163,109,0,25,9,4,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
39,BASICA,Ayuntamiento,Anáhuac,21,Acta contabilizada,750,514,166,199,0,6,3,1,7,0,0,10,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
39,CONTIGUA 1,Ayuntamiento,Anáhuac,21,Acta contabilizada,610,407,151,145,0,6,2,4,8,0,0,5,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
40,BASICA,Ayuntamiento,Anáhuac,21,Acta contabilizada,691,471,125,192,0,15,9,2,6,0,0,5,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
40,CONTIGUA 1,Ayuntamiento,Anáhuac,21,Acta contabilizada,690,462,124,185,0,4,6,2,11,0,0,3,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
41,BASICA,Ayuntamiento,Anáhuac,21,Acta contabilizada,435,328,115,107,0,12,1,1,1,0,0,9,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
41,CONTIGUA 1,Ayuntamiento,Anáhuac,21,Acta contabilizada,435,315,105,104,0,10,0,0,4,0,0,5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
42,BASICA,Ayuntamiento,Anáhuac,21,Acta contabilizada,681,458,137,130,0,32,3,0,7,0,0,14,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
42,CONTIGUA 1,Ayuntamiento,Anáhuac,21,Acta contabilizada,681,482,169,116,0,22,2,1,3,0,0,6,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
42,CONTIGUA 2,Ayuntamiento,Anáhuac,21,Acta contabilizada,681,485,137,155,0,21,2,0,9,0,0,12,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
43,BASICA,Ayuntamiento,Anáhuac,21,Acta contabilizada,648,445,168,164,0,16,4,2,4,0,0,6,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,CONTIGUA 1,Ayuntamiento,Anáhuac,21,Acta contabilizada,583,382,130,133,0,11,2,1,4,0,0,10,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
44,BASICA,Ayuntamiento,Anáhuac,21,Acta contabilizada,461,317,116,96,0,13,2,1,3,0,0,2,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,CONTIGUA 1,Ayuntamiento,Anáhuac,21,Acta contabilizada,461,317,122,86,0,13,3,2,4,0,0,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
45,BASICA,Ayuntamiento,Anáhuac,21,Acta contabilizada,389,291,73,147,0,4,2,3,4,0,0,7,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
45,CONTIGUA 1,Ayuntamiento,Anáhuac,21,Acta contabilizada,388,257,58,125,0,2,4,2,4,0,0,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
46,BASICA,Ayuntamiento,Anáhuac,21,Acta contabilizada,842,561,128,309,0,14,2,4,8,0,0,9,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47,BASICA,Ayuntamiento,Anáhuac,21,Acta contabilizada,391,268,88,90,0,11,0,2,0,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
47,CONTIGUA 1,Ayuntamiento,Anáhuac,21,Acta contabilizada,390,285,114,99,0,7,2,1,2,0,0,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
48,BASICA,Ayuntamiento,Anáhuac,21,Acta contabilizada,743,466,196,136,0,13,4,3,5,0,0,6,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
48,CONTIGUA 1,Ayuntamiento,Anáhuac,21,Acta contabilizada,743,484,195,181,0,12,8,0,1,0,0,4,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
49,BASICA,Ayuntamiento,Anáhuac,21,Acta contabilizada,685,455,126,158,0,25,4,0,3,0,0,1,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
49,CONTIGUA 1,Ayuntamiento,Anáhuac,21,Acta contabilizada,619,410,138,154,0,20,5,0,2,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
52,BASICA,Ayuntamiento,Anáhuac,21,Acta contabilizada,360,193,73,70,0,2,10,1,4,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
55,BASICA,Ayuntamiento,Anáhuac,21,Acta contabilizada,273,194,42,71,0,7,4,0,9,0,0,5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
61,BASICA,Ayuntamiento,Anáhuac,21,Acta contabilizada,417,299,76,179,0,2,2,1,6,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
63,BASICA,Ayuntamiento,Apodaca,16,Acta contabilizada,629,227,67,83,4,1,13,19,5,0,0,3,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,6
63,CONTIGUA 1,Ayuntamiento,Apodaca,16,Acta contabilizada,629,233,51,105,3,7,7,18,2,0,0,1,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,17
63,CONTIGUA 2,Ayuntamiento,Apodaca,16,Acta contabilizada,629,243,60,105,3,6,15,17,6,0,0,3,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,8
63,CONTIGUA 3,Ayuntamiento,Apodaca,16,Acta contabilizada,629,245,60,98,2,3,10,20,2,0,0,10,6,0,24,0,0,0,0,0,0,0,0,0,0,0,0,10
63,ESPECIAL 1,Ayuntamiento,Apodaca,16,Acta contabilizada,0,65,21,11,0,1,3,17,1,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2
66,BASICA,Ayuntamiento,Apodaca,16,Acta contabilizada,675,308,81,105,8,6,17,32,7,0,0,2,4,0,37,0,0,0,0,0,0,0,0,0,0,0,0,9
66,CONTIGUA 1,Ayuntamiento,Apodaca,16,Acta contabilizada,675,318,80,114,6,6,21,29,2,0,0,7,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,9
66,CONTIGUA 2,Ayuntamiento,Apodaca,16,Acta contabilizada,674,303,78,107,7,2,17,29,6,0,0,6,1,0,46,0,0,0,0,0,0,0,0,0,0,0,0,4
66,CONTIGUA 3,Ayuntamiento,Apodaca,16,Acta contabilizada,674,298,74,97,7,9,19,31,7,0,0,3,6,0,35,0,0,0,0,0,0,0,0,0,0,0,0,10
66,CONTIGUA 4,Ayuntamiento,Apodaca,16,Acta contabilizada,674,327,86,129,2,8,10,33,3,0,0,4,4,0,42,0,0,0,0,0,0,0,0,0,0,0,0,6
66,EXTRAORDINARIA 1,Ayuntamiento,Apodaca,16,Acta contabilizada,512,289,106,66,4,7,18,18,14,0,0,4,6,0,41,0,0,0,0,0,0,0,0,0,0,0,0,5
66,EXTRAORDINARIA 1 CONTIGUA 1,Ayuntamiento,Apodaca,16,Acta contabilizada,512,249,75,64,1,12,13,24,5,0,0,9,6,0,32,0,0,0,0,0,0,0,0,0,0,0,0,8
66,EXTRAORDINARIA 1 CONTIGUA 2,Ayuntamiento,Apodaca,16,Acta contabilizada,512,275,92,61,3,8,13,35,10,0,0,8,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,1
68,BASICA,Ayuntamiento,Apodaca,16,Acta contabilizada,749,425,140,136,6,22,22,39,10,0,0,9,5,0,31,0,0,0,0,0,0,0,0,0,0,0,0,5
68,CONTIGUA 1,Ayuntamiento,Apodaca,16,Acta contabilizada,749,415,136,115,1,29,14,36,11,0,0,6,7,0,52,0,0,0,0,0,0,0,0,0,0,0,0,8
68,CONTIGUA 2,Ayuntamiento,Apodaca,16,Acta contabilizada,749,416,147,118,6,22,15,31,10,0,0,9,10,0,41,0,0,0,0,0,0,0,0,0,0,0,0,7
68,CONTIGUA 3,Ayuntamiento,Apodaca,16,Acta contabilizada,749,381,118,117,3,31,13,29,7,0,0,7,11,0,39,0,0,0,0,0,0,0,0,0,0,0,0,6
68,CONTIGUA 4,Ayuntamiento,Apodaca,16,Acta contabilizada,749,405,125,126,5,28,18,38,12,0,0,5,4,0,39,0,0,0,0,0,0,0,0,0,0,0,0,5
68,CONTIGUA 5,Ayuntamiento,Apodaca,16,Acta contabilizada,749,402,133,118,5,29,11,34,11,0,0,7,6,0,41,0,0,0,0,0,0,0,0,0,0,0,0,7
68,CONTIGUA 6,Ayuntamiento,Apodaca,16,Acta contabilizada,748,375,119,123,7,19,17,34,8,0,0,11,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,2
68,CONTIGUA 7,Ayuntamiento,Apodaca,16,Acta contabilizada,748,405,120,126,5,24,18,37,16,0,0,6,9,0,42,0,0,0,0,0,0,0,0,0,0,0,0,2
69,BASICA,Ayuntamiento,Apodaca,16,Acta contabilizada,674,360,112,100,5,29,14,39,0,0,0,10,6,0,42,0,0,0,0,0,0,0,0,0,0,0,0,3
69,CONTIGUA 1,Ayuntamiento,Apodaca,16,Acta contabilizada,674,363,86,117,2,25,14,38,11,0,0,10,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,13
69,CONTIGUA 2,Ayuntamiento,Apodaca,16,Acta contabilizada,674,362,101,108,4,37,17,38,8,0,0,11,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,6
69,CONTIGUA 3,Ayuntamiento,Apodaca,16,Acta contabilizada,673,347,93,102,2,35,11,47,13,0,0,4,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,4
69,CONTIGUA 4,Ayuntamiento,Apodaca,16,Acta contabilizada,673,374,113,124,1,32,15,25,11,0,0,11,10,0,22,0,0,0,0,0,0,0,0,0,0,0,0,10
69,CONTIGUA 5,Ayuntamiento,Apodaca,16,Acta contabilizada,673,352,101,118,2,40,14,24,7,0,0,9,12,0,23,0,0,0,0,0,0,0,0,0,0,0,0,2
70,BASICA,Ayuntamiento,Apodaca,16,Acta contabilizada,708,388,133,127,1,11,13,33,12,0,0,3,12,0,36,0,0,0,0,0,0,0,0,0,0,0,0,7
70,CONTIGUA 1,Ayuntamiento,Apodaca,16,Acta contabilizada,708,412,127,117,8,14,15,59,13,0,0,4,6,0,44,0,0,0,0,0,0,0,0,0,0,0,0,5
70,CONTIGUA 2,Ayuntamiento,Apodaca,16,Acta contabilizada,708,414,162,98,3,12,13,43,19,0,0,11,7,0,42,0,0,0,0,0,0,0,0,0,0,0,0,4
70,CONTIGUA 3,Ayuntamiento,Apodaca,16,Acta contabilizada,708,415,140,119,7,20,19,34,15,0,0,9,7,0,36,0,0,0,0,0,0,0,0,0,0,0,0,9
70,CONTIGUA 4,Ayuntamiento,Apodaca,16,Acta contabilizada,708,399,138,99,6,13,10,44,8,0,0,8,11,0,56,0,0,0,0,0,0,0,0,0,0,0,0,6
70,CONTIGUA 5,Ayuntamiento,Apodaca,16,Acta contabilizada,708,425,151,101,5,20,13,50,16,0,0,5,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,11
70,CONTIGUA 6,Ayuntamiento,Apodaca,16,Acta contabilizada,708,385,144,107,2,16,14,38,11,0,0,5,2,0,43,0,0,0,0,0,0,0,0,0,0,0,0,3
70,CONTIGUA 7,Ayuntamiento,Apodaca,16,Acta contabilizada,707,434,162,120,3,14,21,47,8,0,0,8,9,0,36,0,0,0,0,0,0,0,0,0,0,0,0,6
70,CONTIGUA 8,Ayuntamiento,Apodaca,16,Acta contabilizada,707,404,123,126,6,16,16,38,16,0,0,8,6,0,46,0,0,0,0,0,0,0,0,0,0,0,0,3
71,BASICA,Ayuntamiento,Apodaca,16,Acta contabilizada,526,333,89,91,3,15,26,37,14,0,0,7,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,7
71,CONTIGUA 1,Ayuntamiento,Apodaca,16,Acta contabilizada,526,313,89,101,5,9,15,31,11,0,0,9,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,7
72,BASICA,Ayuntamiento,Apodaca,16,Acta contabilizada,433,220,66,62,3,9,8,21,13,0,0,3,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,8
72,CONTIGUA 1,Ayuntamiento,Apodaca,16,Acta contabilizada,433,233,49,90,2,7,8,25,10,0,0,11,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3
73,BASICA,Ayuntamiento,Apodaca,16,Acta contabilizada,601,323,109,86,3,9,17,37,6,0,0,6,10,0,33,0,0,0,0,0,0,0,0,0,0,0,0,7
73,CONTIGUA 1,Ayuntamiento,Apodaca,16,Acta contabilizada,601,333,112,98,2,12,10,31,9,0,0,9,8,0,37,0,0,0,0,0,0,0,0,0,0,0,0,5
73,CONTIGUA 2,Ayuntamiento,Apodaca,16,Acta contabilizada,601,342,122,82,1,9,16,32,14,0,0,4,8,0,42,0,0,0,0,0,0,0,0,0,0,0,0,12
73,CONTIGUA 3,Ayuntamiento,Apodaca,16,Acta contabilizada,600,350,97,116,8,8,15,40,9,0,0,8,7,0,36,0,0,0,0,0,0,0,0,0,0,0,0,6
74,BASICA,Ayuntamiento,Apodaca,16,Acta contabilizada,645,289,65,127,5,15,9,24,12,0,0,2,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,5
74,CONTIGUA 1,Ayuntamiento,Apodaca,16,Acta contabilizada,645,304,71,142,5,5,10,22,3,0,0,5,5,0,29,0,0,0,0,0,0,0,0,0,0,0,0,7
75,BASICA,Ayuntamiento,Apodaca,16,Acta contabilizada,511,231,43,108,3,5,12,12,8,0,0,4,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,8
75,CONTIGUA 1,Ayuntamiento,Apodaca,16,Acta contabilizada,510,238,50,96,3,10,10,17,10,0,0,1,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,3
76,BASICA,Ayuntamiento,Apodaca,16,Acta contabilizada,669,304,65,133,3,9,11,33,5,0,0,5,9,0,25,0,0,0,0,0,0,0,0,0,0,0,0,6
76,CONTIGUA 1,Ayuntamiento,Apodaca,16,Acta contabilizada,668,279,62,118,2,6,11,20,11,0,0,4,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0,5
78,BASICA,Ayuntamiento,Apodaca,16,Acta contabilizada,521,258,51,117,5,7,12,14,10,0,0,5,5,0,27,0,0,0,0,0,0,0,0,0,0,0,0,5
